Name,Link,Level 3,h3,h4,h5,h6
Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,,Politicians and leaders,Modern,Americas,United States
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,,Politicians and leaders,Modern,Americas,United States
Alfred Radcliffe-Brown,https://en.wikipedia.org/wiki/Alfred_Radcliffe-Brown,,"Social scientists, economists and political writers",Early modern,,
Barbra Streisand,https://en.wikipedia.org/wiki/Barbra_Streisand,,Entertainers,Actors,,
Benny Goodman,https://en.wikipedia.org/wiki/Benny_Goodman,,Musicians and composers,Jazz,,
David Sarnoff,https://en.wikipedia.org/wiki/David_Sarnoff,,Businessmen,,,
Drake (musician),https://en.wikipedia.org/wiki/Drake_(musician),,Musicians and composers,Popular music,Hip-hop and rap,
Eusébio,https://en.wikipedia.org/wiki/Eus%C3%A9bio,,Sports figures,Team sports,Association football,
Ferenc Puskás,https://en.wikipedia.org/wiki/Ferenc_Pusk%C3%A1s,,Sports figures,Team sports,Association football,
Joan Baez,https://en.wikipedia.org/wiki/Joan_Baez,,Musicians and composers,Popular music,Folk and country,
John C. Calhoun,https://en.wikipedia.org/wiki/John_C._Calhoun,,Politicians and leaders,Modern,Americas,United States
Michel Platini,https://en.wikipedia.org/wiki/Michel_Platini,,Sports figures,Team sports,Association football,
Nestor Makhno,https://en.wikipedia.org/wiki/Nestor_Makhno,,"Rebels, revolutionaries and activists",Modern,Europe,
Seymour Cray,https://en.wikipedia.org/wiki/Seymour_Cray,,"Scientists, inventors and mathematicians",Computer scientists,,
Symon Petliura,https://en.wikipedia.org/wiki/Symon_Petliura,,Politicians and leaders,Modern,Europe,Eastern Europe
The Velvet Underground,https://en.wikipedia.org/wiki/The_Velvet_Underground,,Musicians and composers,Popular music,Rock,
Vince Lombardi,https://en.wikipedia.org/wiki/Vince_Lombardi,,Sports figures,Team sports,American football,
Alex Ferguson,https://en.wikipedia.org/wiki/Alex_Ferguson,,Sports figures,Team sports,Association football,
MrBeast,https://en.wikipedia.org/wiki/MrBeast,,Entertainers,Internet personalities,,
Vlad and Niki,https://en.wikipedia.org/wiki/Vlad_and_Niki,,Entertainers,Internet personalities,,
Like Nastya,https://en.wikipedia.org/wiki/Like_Nastya,,Entertainers,Internet personalities,,
Stokes Twins,https://en.wikipedia.org/wiki/Stokes_Twins,,Entertainers,Internet personalities,,
PewDiePie,https://en.wikipedia.org/wiki/PewDiePie,,Entertainers,Internet personalities,,
Blackpink,https://en.wikipedia.org/wiki/Blackpink,,Musicians and composers,Popular music,,
Selena Gomez,https://en.wikipedia.org/wiki/Selena_Gomez,,Musicians and composers,Popular music,,
Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,,Entertainers,Actors,,
Kylie Jenner,https://en.wikipedia.org/wiki/Kylie_Jenner,,Entertainers,Internet personalities,,
Ariana Grande,https://en.wikipedia.org/wiki/Ariana_Grande,,Musicians and composers,Popular music,,
Kim Kardashian,https://en.wikipedia.org/wiki/Kim_Kardashian,,Entertainers,Internet personalities,,
Beyoncé,https://en.wikipedia.org/wiki/Beyonc%C3%A9,,Musicians and composers,Popular music,,
Shakira,https://en.wikipedia.org/wiki/Shakira,,Musicians and composers,Popular music,,
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,,Entertainers,Actors,,
Vin Diesel,https://en.wikipedia.org/wiki/Vin_Diesel,,Entertainers,Actors,,
Rihanna,https://en.wikipedia.org/wiki/Rihanna,,Musicians and composers,Popular music,,
Eminem,https://en.wikipedia.org/wiki/Eminem,,Musicians and composers,Popular music,Hip-hop and rap,
Neymar,https://en.wikipedia.org/wiki/Neymar,,Sports figures,Team sports,Association football,
Khaby Lame,https://en.wikipedia.org/wiki/Khaby_Lame,,Entertainers,Internet personalities,,
Charli D'Amelio,https://en.wikipedia.org/wiki/Charli_D%27Amelio,,Entertainers,Internet personalities,,
Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber,,Musicians and composers,Popular music,,
Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,,Musicians and composers,Popular music,,
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,,Musicians and composers,Popular music,,
John Williams,https://en.wikipedia.org/wiki/John_Williams,,Musicians and composers,Composers,Modern,
Jeff Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,,Businessmen,,,
Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook,,Businessmen,,,
Pope Francis,https://en.wikipedia.org/wiki/Pope_Francis,,Religious figures,Abrahamic religions,Christianity,Popes
Mark Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,,Businessmen,,,
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,,"Rebels, revolutionaries and activists",Modern,Europe,
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai,,"Rebels, revolutionaries and activists",Modern,Asia,
BTS,https://en.wikipedia.org/wiki/BTS,,Musicians and composers,Popular music,,
Phil Taylor (darts player),https://en.wikipedia.org/wiki/Phil_Taylor_(darts_player),,Sports figures,Individual sports,Darts,
Ninja (gamer),https://en.wikipedia.org/wiki/Ninja_(gamer),,Entertainers,Internet personalities,,
