Region,First Weekend Sites,Second Weekend Site
Prehistoric Region,"Arusha, Tanzania; Sanliurfa, Turkey; Bhopal, India; Salisbury, England","Los Angeles, USA"
Bronze Region,"Heraklion, Greece; Argos, Greece; Lahore, Pakistan; Malia, Greece","Athens, Greece"
Iron Region,"Bukhara, Uzbekistan; Shendi, Sudan; Hallstatt, Austria; Masvingo, Zimbabwe","Berlin, Germany"
Classical Region,"Sparta, Greece; Pompeii, Italy; Alexandria, Egypt; Selcuk, Turkey","Delphi, Greece"
Hellenistic Region,"Bergama, Turkey; Pella, Greece; Rhodes, Greece; Di Qar, Iraq","Antakya, Turkey"
Antiquity Region,"Hillah, Iraq; Tunis, Tunisia; Shiraz, Iran; Homs, Syria","Beirut, Lebanon"
Middle Ages Region,"Avignon, France; Canterbury, England; Prague, Czechia; Toledo, Spain","Reims, France"
Renaissance Region,"Florence, Italy; Venice, Italy; Milan, Italy; Urbino, Italy",Vatican City
Revolutionary Region,"Charleston, USA; Bordeaux, France; Saint Petersburg, Russia; Philadelphia, USA","Versailles, France"
Baroque Region,"Vienna, Austria; Salzburg, Austria; Dresden, Germany; Madrid, Spain","Caserta, Italy"
Enlightenment Region,"Edinburgh, Scotland; Lausanne, Switzerland; Weimar, Germany; Baltimore, USA","Geneva, Switzerland"
Romantic Region,"Keswick, England; Heidelberg, Germany; Bergen auf Rugen, Germany; Lugano, Switzerland","Montreux, Switzerland"
Industrial Region,"Manchester, England; Essen, Germany; Pittsburgh, USA; Nagoya, Japan","Detroit, USA"
Atomic Region,"Los Alamos, USA; Oak Ridge, USA; Chernobyl, Ukraine; Sellafield, England","Berkeley, USA"
Information Region,"San Jose, USA; Bangalore, India; Shenzhen, China; Cambridge, England","Cambridge, USA"
Modern Region,"Houston, USA; London, England; Osaka, Japan; Dubai, UAE","Shanghai, China"
Mesopotamia Region,"Nasiriyah, Iraq; Samawah, Iraq; Mosul, Iraq; Nimrud, Iraq","Baghdad, Iraq"
Nile Region,"Giza, Egypt; Luxor, Egypt; Aswan, Egypt; Khartoum, Sudan","Cairo, Egypt"
Indus Valley Region,"Larkana, Pakistan; Sahiwal, Pakistan; Bhuj, India; Ahmedabad, India","Karachi, Pakistan"
Saharan Region,"Timbuktu, Mali; Ghadames, Libya; Agadez, Niger; Marrakesh, Morocco","Algiers, Algeria"
American Region,"Havana, Cuba; Chicago, USA; Toronto, Canada; Mexico City, Mexico","Washington DC, USA"
Amazonian Region,"Manaus, Brazil; Iquitos, Peru; Leticia, Colombia; Belem, Brazil","Brasilia, Brazil"
Mediterranean Region,"Barcelona, Spain; Marseille, France; Naples, Italy; Thessaloniki, Greece","Istanbul, Turkey"
Himalayan Region,"Kathmandu, Nepal; Lhasa, China; Thimphu, Bhutan; Srinagar, India","Shimla, India"
Siberian Region,"Novosibirsk, Russia; Irkutsk, Russia; Yakutsk, Russia; Vladivostok, Russia","Khabarovsk, Russia"
Silk Road Region,"Samarkand, Uzbekistan; Kashgar, China; Dunhuang, China; Mary, Turkmenistan","Xian, China"
Eastern Region,"Beijing, China; Seoul, South Korea; Kyoto, Japan; Taipei, Taiwan","Hong Kong, China"
Deccan Region,"Hyderabad, India; Bengaluru, India; Pune, India; Mysuru, India","Mumbai, India"
Oceania Region,"Sydney, Australia; Auckland, New Zealand; Suva, Fiji; Port Moresby, Papua New Guinea","Melbourne, Australia"
Atlantic Region,"Reykjavik, Iceland; Dakar, Senegal; Rio de Janeiro, Brazil; Lisbon, Portugal","Cape Town, South Africa"
Pacific Region,"Honolulu, USA; Manila, Philippines; Lima, Peru; Jakarta, Indonesia","San Francisco, USA"
Arctic Region,"Longyearbyen, Svalbard; Tromso, Norway; Murmansk, Russia; Anchorage, USA","Nuuk, Greenland"
Final 32,"Lagos, Nigeria; Paris, France; New York, USA; Tokyo, Japan","Rome, Italy"
